ContactName,InvoiceNumber,Date,Total,Description,AccountCode
Capital Cab Co,CS816-2,2021/01/23,960.56,Taxi services,493
Bayside Wholesale,GB2-White-2,2022/01/02,713.76,Golf balls - white single,300
Gateway Motors,450-2,2021/08/27,267.38,Annual service company car,449
Young Bros Transport,ABD-2,2021/09/25,970.04,Delivery of new reception furniture,425
Net Connect,RPT489-2,2021/10/21,914.26,Cable internet,489
ABC Furniture,711-2,2021/06/28,418.69,Coffee table for reception,710
PowerDirect,RPT445-1-2,2021/04/05,178.99,Monthly electricity,445
Truxton Property Management,RPT469-1-2,2021/12/24,272.11,Monthly rent in advance,469
Swanston Security,RPT429-1-2,2021/03/31,461.17,Our share building doorman/security,429
Bayside Club,-2,2021/06/14,718.97,Room hire,429
SMART Agency,SM0210-2,2021/07/29,327.67,Prototype media banner & print mockups for Oaktown Business Leader ad series,400
Carlton Functions,Dep-2,2021/05/26,870.96,Deposit on venue hire for client function,300
Hoyt Productions,08-4123-2,2021/02/20,544.28,20-second still frame ad shown in 5 city cinemas 5 times each,400
Xero,RPT402-1-2,2021/12/23,361.59,Monthly subscription,401
Net Connect,RPT489-1-2,2021/01/30,360.14,Cable internet,489
PowerDirect,RPT445-1-2,2021/05/26,624.11,Monthly electricity,445
Truxton Property Management,RPT469-1-2,2021/04/19,72.22,Monthly rent in advance,469
Swanston Security,RPT429-1-2,2022/03/02,978.60,Our share building doorman/security,429
SMART Agency,SM0195-2,2021/09/27,573.14,Design concepts for Oaktown Business Leader ad series,400
Xero,RPT402-1-2,2021/07/27,154.65,Monthly subscription,401
PC Complete,0720-2-2,2022/02/11,994.14,Unable to supply DVD writer for laptop,429
MCO Cleaning Services,408-2,2021/09/13,88.77,Office clean for month,408
Net Connect,RPT489-1-2,2021/02/23,342.26,Cable internet,489
Central Copiers,945-Ocon-2,2021/07/05,45.90,Photocopier repair & drum replacement,473
PC Complete,0720-2-2,2022/02/27,919.31,Webrrls Club sub,485
PC Complete,0720-2-2,2021/12/10,800.14,DVD writer for laptop,429
PowerDirect,RPT445-1-2,2022/03/09,352.83,Monthly electricity,445
Swanston Security,RPT429-1-2,2021/05/23,709.26,Refund as agreed due to window break when guard absent,429
Truxton Property Management,RPT469-1-2,2021/01/02,895.15,Monthly rent in advance,469
Swanston Security,RPT429-1-2,2022/02/25,665.25,Our share building doorman/security,429
Xero,RPT402-1-2,2021/10/01,714.00,Monthly subscription,401
Net Connect,RPT489-1-2,2022/01/18,692.06,Cable internet,489
PC Complete,0720-1-2,2021/06/29,743.48,Laptop,720
PowerDirect,RPT445-1-2,2022/03/16,184.83,Monthly electricity,445
Capital Cab Co,RPT469-1-2,2022/02/21,151.00,Monthly rent in advance,469
Capital Cab Co,CS816-3,2021/04/29,689.19,Taxi services,493
Bayside Wholesale,GB2-White-3,2021/04/19,47.13,Golf balls - white single,300
Gateway Motors,450-3,2021/09/16,655.78,Annual service company car,449
Young Bros Transport,ABD-3,2022/01/09,991.58,Delivery of new reception furniture,425
Net Connect,RPT489-3,2021/05/26,675.72,Cable internet,489
ABC Furniture,711-3,2021/03/14,477.84,Coffee table for reception,710
PowerDirect,RPT445-1-3,2021/03/10,416.07,Monthly electricity,445
Truxton Property Management,RPT469-1-3,2021/06/04,588.90,Monthly rent in advance,469
Swanston Security,RPT429-1-3,2021/03/30,387.17,Our share building doorman/security,429
Bayside Club,-3,2021/09/10,661.12,Room hire,429
SMART Agency,SM0210-3,2021/03/01,51.44,Prototype media banner & print mockups for Oaktown Business Leader ad series,400
Carlton Functions,Dep-3,2021/06/20,156.43,Deposit on venue hire for client function,300
Hoyt Productions,08-4123-3,2021/03/04,839.97,20-second still frame ad shown in 5 city cinemas 5 times each,400
Xero,RPT402-1-3,2022/03/12,184.79,Monthly subscription,401
Net Connect,RPT489-1-3,2022/02/26,798.01,Cable internet,489
PowerDirect,RPT445-1-3,2022/01/10,729.69,Monthly electricity,445
Truxton Property Management,RPT469-1-3,2022/01/14,706.79,Monthly rent in advance,469
Swanston Security,RPT429-1-3,2021/08/06,675.71,Our share building doorman/security,429
